Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cccc(C)c2)o1,Potency,'=',17782.8,nM,4.75,assay format,Beta-lactamase AmpC
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1.Cl,Potency,'=',1412.5,nM,5.85,assay format,Beta-lactamase AmpC
Cn1c2cc(B(O)O)sc2c2cnn(Cc3ccc(F)cc3F)c(=O)c21,Potency,'=',3548.1,nM,5.45,assay format,Beta-lactamase AmpC
Cc1cc(C)c2c(=O)n(CC(=O)NCCCN3CCOCC3)sc2n1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
COc1ccc(CCNC(=O)CSc2n[nH]c(N)n2)cc1,Potency,'=',100000.0,nM,4.0,assay format,Beta-lactamase AmpC
O=C(NC(=S)Nc1ccc2c(c1)OCCO2)c1ccc(F)cc1Cl,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
O=C1NC(=O)C(=Cc2cc3c(cc2[N+](=O)[O-])OCO3)C(=O)N1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,Potency,'=',1995.3,nM,5.7,assay format,Beta-lactamase AmpC
CC(Oc1ccccc1F)C(=O)NN,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
Cc1nc(S(=O)(=O)c2ccc(Cl)cc2)c(NCc2ccccc2)o1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
CCCc1c(C)nc2ccc(C(=O)O)cc2c1S,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
O=[N+]([O-])c1c(O)nc(O)nc1NC1CCCCC1,Potency,'=',89125.1,nM,4.05,assay format,Beta-lactamase AmpC
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1.Cl,Potency,'=',8600.0,nM,5.07,assay format,Beta-lactamase AmpC
CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cc(C)ccc2C)o1,Potency,'=',10000.0,nM,5.0,assay format,Beta-lactamase AmpC
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2ccccc2)o1,Potency,'=',16000.0,nM,4.8,assay format,Beta-lactamase AmpC
Cc1ccc(S(=O)(=O)N2CCC(C(=O)N[C@@H](C)C(=O)Nc3ccc4c(c3)OCO4)CC2)cc1,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](CC(C)C)NC(=O)OC(C)(C)C)o1,Potency,'=',14125.4,nM,4.85,assay format,Beta-lactamase AmpC
CC1=C(C(=O)O)N2C(=O)C(NC(=O)c3ccccc3Cl)C2SC1,Potency,'=',70794.6,nM,4.15,assay format,Beta-lactamase AmpC
Cn1c(=O)c2c(-c3ccc(C(C)(C)C)cc3)n(N3CCOCC3)cc2n(C)c1=O,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
C/C(Cl)=C/CC1(CN2CCCC2=O)C(=O)NC(=O)NC1=O,Potency,'=',28183.8,nM,4.55,assay format,Beta-lactamase AmpC
CN(C)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)cc1,Potency,'=',100000.0,nM,4.0,assay format,Beta-lactamase AmpC
O=C(O)CC1(CC(=O)N2CCOCC2)CCCC1,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(CO)c(O)c3c(c1O2)C(O)OC3=O,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CCOC(=O)c1cc2c(ccn2C)n1CC(=O)N1CCN(c2ccccc2)CC1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
