Smiles,pChEMBL_Value
C(=N/N1CCOCC1)\c1nc(-c2ccccc2)n2ccccc12,4.0
C(=N/N=C(/Nc1ccccc1)c1ccccn1)\c1ccccn1,4.1
C(=N/NC1=Nc2cccc3cccc1c23)\c1ccccn1,5.35
C(=N/NC1=Nc2cccc3cccc1c23)\c1cccnc1,4.6
C(=N/Nc1cc(N2CCCCC2)ncn1)\c1ccco1,6.2
C(=N/Nc1ccccn1)\c1cccnc1,5.8
C(=N/Nc1nc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccncc1,4.4
C(=N/Nc1nc2ccccc2[nH]1)\c1ccc2c(c1)OCO2,5.55
C(=N/Nc1nc2ccccc2[nH]1)\c1ccccn1,4.0
C(=N/Nc1nc2ccccc2[nH]1)\c1ccncc1,4.5
C(=N/Nc1nc2ccccc2s1)\c1ccc2c(c1)OCO2,4.0
C(=N/Nc1ncnc2ccccc12)\c1ccccc1,5.5
C(=N/Nc1ncnc2sc3c(c12)CCC3)\c1ccncc1,4.05
C(=N/n1cnnc1)\c1ccc(N2CCOCC2)cc1,5.3
C(=N/n1cnnc1)\c1ccc(OC2CSC2)cc1,4.0
C(=N/n1cnnc1)\c1ccc2c(c1)OCO2,4.1
C(=N/n1cnnc1)\c1cccc(OCCOc2ccccc2)c1,5.3
C(=N/n1cnnc1)\c1cccc2ccccc12,5.8
C(=N/n1cnnc1)\c1ccccc1OCCOc1ccccc1,4.5
C(=N/n1cnnc1)\c1cccn1-c1ccccc1,6.2
C(=N/n1cnnc1)\c1cccnc1,6.2
C(=N/n1cnnc1)\c1cn(Cc2ccccc2)c2ccccc12,4.4
C(=N/n1cnnc1SCc1ccccc1)\c1ccco1,4.4
C(=N\Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)\c1cccnc1,5.5
C(=Nc1nccs1)Nc1nccs1,4.2
C/C(=C(\C#N)C(=O)NCCCN1CCOCC1)N(C)C,4.2
C/C(=C/C=C/[C@@H](C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,4.3
C/C(=C1/C(=O)N(c2ccc([N+](=O)[O-])cc2)N=C1c1ccccc1)N(C)C,5.05
C/C(=C\C(=O)N1CCc2ccccc21)C(=O)O,4.25
C/C(=C\C(=O)c1ccc(F)cc1)NCc1ccc2c(c1)OCO2,4.5
C/C(=C\C(=O)c1ccccc1)Nc1ccc(N2CCOCC2)cc1,5.85
C/C(=C\c1ccccc1)C(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1,4.3
C/C(=C\c1ccccc1)C(=O)NCCCn1ccnc1,4.25
C/C(=C\c1ccccc1)CN(C)CCN(C)C,4.05
C/C(=N/O)c1ccc2c(c1)OCCOCCOc1cc(/C(C)=N/O)ccc1OCCOCCO2,6.2
C/C(=N/O)c1ccccn1,5.5
C/C(=N\O)C(=O)NCCN(C)C,6.45
C/C(=N\O)C(=O)NCCN1CCCCC1,5.25
C/C(=N\O)C(C)Oc1ccc(Cl)cc1,6.2
C/C(=N\O)C1/C(=N/O)CC2C1C2(C)C,5.65
C/C(=N\O)c1c(C)c2ccccc2n1C,4.35
C/C(=N\O)c1ccccc1C(=O)O,4.05
C/C(CC(O)(/C=N/O)c1ccccc1)=N\O,4.35
C/C(CCc1c[nH]c2ccccc12)=N\O,4.35
C/C(N)=C(/C#N)C(=O)CN1C(=O)NC(Cc2c[nH]c3ccccc23)C1=O,4.4
C/C(N)=C(/C#N)C(=O)COC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,4.25
C/C(N)=C(/C#N)C(=O)COC(=O)c1cc2c(s1)CCC(C)C2,4.6
C/C(N)=C(/C#N)C(=O)COC(=O)c1cccc2ccccc12,6.15
C/C(N)=C(/C#N)C(=O)COC(=O)c1ccccc1O,6.0
C/C(N)=C(/C#N)C(=O)CSc1nncn1-c1ccccc1,4.75
C/C(N)=C(\C#N)C(=O)NCCc1ccccn1,4.25
C/C(NC(=O)c1cccc(F)c1)=C1/C(=O)C[C@@H]2[C@H]1C2(C)C,6.2
C/C(NC(=O)c1ccccc1F)=C1\C(=O)C[C@@H]2[C@H]1C2(C)C,4.4
C/C(NC(=O)c1cccs1)=C1\C(=O)C[C@@H]2[C@H]1C2(C)C,4.1
C/C(NC1CCCCC1)=C(/C#N)C(=O)NCCN1CCOCC1,4.6
C/C(NCC(C)(C)CN(C)C)=C(/C#N)C(=O)NCc1ccccc1,5.85
C/C(NCCCN1CCOCC1)=C1/C(=O)NC(=O)N(c2ccccc2C)C1=O,5.55
C/C(NCCN(C)C)=C(/C#N)C(N)=O,6.2
C/C(NCCN1CCCCC1)=C1/C(=O)NC(=O)N(c2ccc(Cl)cc2)C1=O,6.2
C/C(NCCN1CCOCC1)=C(\C#N)C(N)=O,4.6
C/C(NCc1cccnc1)=C1/C(=O)NC(=O)N(c2ccc(C)cc2)C1=O,6.15
C/C(NCc1ccco1)=C1\C(=O)NC(=O)N(C2CCCCC2)C1=O,5.8
C/C(NCc1ccco1)=C1\C(=O)NC(=O)N(Cc2ccccc2)C1=O,4.15
C/C(Nc1ccc(F)cc1)=C1/C(=O)NC(=O)N(C)C1=O,5.4
C/C(Nc1ccccc1N)=C1\C(=O)NC(=O)N(C)C1=O,6.2
C/C(O)=C(\C#N)c1nc2ccccc2[nH]1,4.4
C/C(O)=C/c1nc2ccccc2nc1O,5.0
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,6.5
C/C=C(\C)CN1CCC(Oc2cccc(C(=O)NCc3ccccn3)c2)CC1,5.25
C/C=C(\C)CN1CCC(n2nccc2NC(=O)CCOc2ccccc2)CC1,5.5
C/C=C(\C)CN1CCC(n2nccc2NC(=O)CCc2ccccc2)CC1,6.2
C/C=C/COC(=O)c1[nH]c2c(c1C)C(=O)CC(c1ccc(N(C)C)cc1)C2,6.15
C/C=C/c1c(F)c(F)c(Oc2ccc(C(=O)O)cc2)c(F)c1F,5.65
C/C=C/c1ccc(OC(C)=O)c(OC)c1,6.65
C/C=C/c1ccc(OC)c(OC(C)=O)c1,6.25
C/C=C/c1ccc(OCC(=O)Nc2ccc(C(N)=O)cc2)c(OC)c1,4.2
C/C=C/c1ccc(OCC(=O)Nc2ccc(OC)c(OC)c2)c(OC)c1,6.25
C/C=C/c1ccc(OCCSc2nc(C)cc(O)n2)c(OC)c1,6.2
C/C=C/c1ccc(Oc2nnnn2-c2ccc(C(N)=O)cc2)c(OC)c1,4.7
C/N=C(/c1ccc([N+](=O)[O-])cc1)N1CCCCC1,4.75
C/N=C/c1sc2ccccc2c1O,4.45
C/N=C1/SC(CC(=O)Nc2cccc(C(F)(F)F)c2)C(=O)N1C,6.2
C/N=C1\CC(SC)=C1c1ccc(C)cc1,5.5
C/N=C1\SC(CC(=O)Nc2c(C)cccc2C)C(=O)N1/N=C/c1cccs1,5.3
C/N=C1\SC(CC(=O)Nc2ccccc2F)C(=O)N1/N=C/c1ccc(O)c(OC)c1,4.1
C/N=C1\SC(CC(=O)Nc2sc3c(c2C#N)CCCC3)C(=O)N1C,4.0
C/N=c1\scc(-c2cccs2)n1/N=C/c1ccccc1O,4.4
C/N=c1\scc(C)n1/N=C/c1ccc2c(c1)OCO2,6.15
C/[N+]([O-])=C1\Cc2ccccc2C1=O,6.0
C1=C(CCNc2[nH]cnc3c4ccccc4nc2-3)CCCC1,4.75
C1=C(CCNc2ncnc3c2cnn3-c2ccccc2)CCCC1,6.15
C1=C(c2c[nH]c3ccccc23)CCNC1,6.2
C1=C(c2ccccc2)CCN(c2[nH]cnc3ncnc2-3)C1,4.2
C1=C(c2ccccc2)Nc2nnnn2C1c1cccs1,4.05
C1=CC2CC1CC2CN1CCN(c2ccccc2)CC1,6.2
C1=CCN(Cc2ccccc2)C1,4.7
C1=Nc2c(Nc3ccccc3)ncnc2Oc2ccccc21,6.05
C1=Nc2c(ncnc2N2CCOCC2)Oc2ccccc21,4.3
C1CCC(CNc2c3c(nc4nnnn24)CCCC3)CC1,5.55
C1CCC2(CC1)C1=C(CCCC1)Nc1nnnn12,5.25
C1CCCC(N2CCNCC2)CC1.Cl,4.3
C1CCN=C(NC23CC4CC(CC(C4)C2)C3)CC1,5.7
C1CCc2c(nc3nnnn3c2NCC2CC2)C1,4.3
C1CCc2nnc(-c3nnc4n3CCCCC4)n2CC1,6.5
C1CCc2nnc(C3CC3)n2CC1,6.2
C1CNCCN1.COc1cc(C(O)CO)ccc1O,5.3
C=C(C)C(=O)Nc1ccc(NC(C)C)cc1,4.5
C=C(C)C1CC=C(C)/C(=N/NC(=O)C2CC2c2ccccc2)C1,5.35
C=C(C)C1CC=C(C)/C(=N/NC(=O)CCCNc2cccc(C)c2)C1,4.05
C=C(C)C1CC=C(C)/C(=N/NC(=O)CNc2ccc(C)cc2C)C1,4.2
C=C(C)C1CC=C(C)/C(=N/NC(=O)COc2cccc3ccccc23)C1,4.1
C=C(C)C1CC=C(C)/C(=N/NC(=O)COc2ccccc2Cl)C1,4.05
C=C(C)C1CC=C(C)/C(=N/NC(=O)c2ccc(NC(=O)CCC)cc2)C1,6.2
C=C(C)C1CC=C(CN2CCC(O)CC2)CC1,6.1
C=C(C)C1CCC(C)=C1COC(=O)Nc1ccccc1,4.5
