SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CC(C)Cn1c(=O)c2ccccc2n2c(-c3ccc(Br)cc3)nnc12,MOL0055,Filter9_metal > 0,397.276,4.129700000000003,0,5,52.19,3
COc1ccccc1CNC(=O)c1cc2c(s1)-c1ccc(Cl)cc1SC2,MOL0056,OK,401.9400000000001,5.612800000000004,1,4,38.33,4
CCOc1ccc(NC(=O)c2nc3nc(C)cc(C(F)F)n3n2)cc1,MOL0057,OK,347.325,3.021320000000001,1,6,81.41,5
COc1cccc(CNC(=O)c2oc3ccc4c(c3c2C)C(=O)CC(C)(C)O4)c1OC,MOL0058,OK,423.46500000000026,4.432220000000004,1,6,87.0,5
COc1ccccc1NC(=O)NCCCN1CCN(c2ccc(F)cc2)CC1,MOL0059,OK,386.47100000000006,3.1681000000000017,2,4,56.84,7
Cc1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,MOL0060,OK,311.3880000000001,5.3488200000000035,1,3,37.81,3
CC(C)NC(=O)c1ccccc1NC(=O)c1nsc2ccccc12,MOL0061,OK,339.4200000000001,3.6868000000000016,2,4,71.09,4
CCOc1ccc(NC(=O)NC(C)c2c(-n3cccc3)sc(C)c2C)cc1,MOL0062,OK,383.5170000000001,5.437040000000005,2,4,55.29,6
CC(C)C(=O)Nc1cccc(C(=O)Nc2nnc(CC(C)(C)C)s2)c1,MOL0063,OK,360.4830000000001,3.973500000000003,2,5,83.98,5
CC(C)C12CN3CC(C(C)C)(CN(C1)C3c1ccc(OCc3ccccc3)cc1)C2=O,MOL0064,OK,418.5810000000002,4.762900000000005,0,4,32.78,6
Cc1ccc(CNC(=O)C(NS(=O)(=O)c2cccs2)C(C)C)cc1,MOL0065,OK,366.5080000000001,2.6758200000000008,2,4,75.27000000000001,7
COc1ccccc1NC(=O)CSC1=Nc2ccccc2C2=NC(CC(=O)NCc3ccco3)C(=O)N12,MOL0066,OK,517.5670000000002,3.325100000000001,2,8,125.60000000000001,8
Cc1cc(-c2nc3ncccc3o2)ccc1NC(=O)c1ccccc1Br,MOL0067,Filter9_metal > 0,408.25500000000005,5.213020000000002,1,4,68.02000000000001,3
Cc1ccc(-n2c(SCC(=O)Nc3cccc(C)c3)nc3c(oc4ccccc43)c2=O)cc1,MOL0068,OK,455.5390000000002,5.4795400000000045,1,6,77.13,5
