Smiles,pChEMBL_Value
CC(=O)n1nc(-c2cccnc2)nc1NCc1ccc(F)cc1,4.4
CC(C(=O)NCc1ccc(Cl)cc1)n1ccc2cc(S(=O)(=O)N3CCCCCC3)ccc21,4.0
CC(C(=O)NCc1ccccc1)N1Cc2ccccc2C1=O,4.2
CC(C)(C)C(=O)NC1(C(F)(F)F)NC(=O)N(c2ccc(F)cc2)C1=O,3.95
CC(C)(C)C(=O)OC1=CN(Cc2ccccc2)S(=O)(=O)c2ccccc21,3.95
CC(C)(C)C1CCC(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)CC1,4.9
CC(C)(C)NC(=O)CCSc1nc(-c2ccc3c(c2)OCO3)cc(C(F)(F)F)n1,4.15
CC(C)(C)NC(=O)CSc1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,4.35
CC(C)(C)NC(=O)Cn1cc(S(=O)(=O)Cc2ccc(F)cc2)c2ccccc21,4.25
CC(C)(C)NC(=O)c1oc2ccccc2c1NC(=O)c1ccc(F)cc1,5.3
CC(C)(C)NC(=O)c1oc2ccccc2c1NC(=O)c1ccccc1F,5.2
CC(C)(C)OC(=O)N1CCC(c2c(C(=O)N3CCCCC3)cnn2-c2ccc(F)cc2F)CC1,5.3
CC(C)(C)OC(=O)N1CCC(c2c(C(=O)N3CCCCC3)cnn2-c2cccc(F)c2)CC1,5.25
CC(C)(C)OC(=O)N1CCC(c2c(C(=O)NCc3ccccc3)cnn2-c2ccccc2)CC1,5.2
CC(C)(C)OC(=O)N1CCC(c2c(C(=O)NCc3ccccn3)cnn2-c2ccccc2Cl)CC1,5.25
CC(C)(C)OC(=O)N1CCC(c2c(C(=O)O)cnn2-c2ccc(F)cc2F)CC1,5.85
CC(C)(C)OC(=O)N1CCc2nc(N3CCN(c4ncccn4)CC3)ncc2C1,4.0
CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NC(=O)c1[nH]cnc1C(=O)Nc1cccc(Cl)c1,5.7
CC(C)(C)c1ccc(-c2nc(S(=O)(=O)c3ccccc3)c(N3CCOCC3)o2)cc1,6.1
CC(C)(C)c1ccc(C(=O)N2CCCCC2CCN2CCCCC2)cc1,5.1
CC(C)(C)c1ccc(C(=O)N2CCN(CCc3ccccn3)CC2)cc1,5.0
CC(C)(C)c1ccc(C(=O)NC2(C(F)(F)F)NC(=O)N(CCc3ccccc3)C2=O)cc1,4.3
CC(C)(C)c1ccc(C(=O)NC2=NC(c3cccc(F)c3)CC(=O)N2)cc1,5.4
CC(C)(C)c1ccc(C(=O)Nc2ccc(OCc3cc(=O)n4ccsc4n3)cc2)cc1,5.35
CC(C)(C)c1ccc(NC(=O)C2CCCN(c3cnccn3)C2)cc1,4.65
CC(C)(C)n1nnnc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.3
CC(C)C(=O)N(Cc1ccccc1)S(=O)(=O)c1ccc2c(c1)oc(=O)n2C,5.1
CC(C)C(=O)Nc1cccc(C(=O)Nc2nnc(C(F)(F)F)s2)c1,4.0
CC(C)C(=O)Nc1cccc(C(=O)Nc2nnc(CC(C)(C)C)s2)c1,4.0
CC(C)C(=O)Nc1cccc(NC2=NS(=O)(=O)c3ccccc32)c1,5.3
CC(C)C(=O)Nc1nnc(S(=O)(=O)N(C)Cc2ccc(F)cc2)s1,3.95
CC(C)C(=O)Nc1nnc(S(=O)(=O)N2CCCCCC2)s1,4.0
CC(C)C(=O)Nc1nnc(S(=O)(=O)N2c3ccccc3CC2C)s1,4.0
CC(C)C(C)NC(=O)CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,5.1
CC(C)C(NS(=O)(=O)c1cccc2cccnc12)C(=O)Nc1ccc(OC(F)(F)F)cc1,6.0
CC(C)C12CN3CC(C(C)C)(CN(C1)C3c1ccc(OCc3ccccc3)cc1)C2=O,4.2
CC(C)C12CN3CC(C(C)C)(CN(C1)C3c1ccccn1)C2=O,5.3
CC(C)C1C(=O)Nc2ccc(S(=O)(=O)NCCc3ccc(Cl)cc3)cc21,5.2
CC(C)C1C(=O)Nc2ccc(S(=O)(=O)NCc3ccc(Cl)cc3)cc21,4.35
CC(C)C1N=C2c3ccccc3N=C(SCC(=O)NCc3ccc(Cl)cc3)N2C1=O,4.35
CC(C)CC(=O)Nc1c(C(=O)N2CCN(c3ccccc3)CC2)oc2ccccc12,4.45
CC(C)CC(=O)Nc1nnc(S(=O)(=O)N2CCCCCC2)s1,3.95
CC(C)CC(=O)Nc1nnc(S(=O)(=O)N2c3ccccc3CC2C)s1,4.6
CC(C)CC(NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)NCCc1ccc(Cl)cc1,5.45
CC(C)CC1Nc2ccc(C(=O)NCCCOC(C)C)cc2NC1=O,4.4
CC(C)CCC(C)NC(=O)c1ccc2nccnc2c1,4.0
CC(C)CCN1C(=O)c2ccccc2CC1(C)C(=O)NC1CCC(C)CC1,6.2
